"suffix","sample_ID","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"_1",27,1.2436788874842,4299,1060.59445135284,1.22675245088309,0.736682949523145,0.264247499418469,"==",0.483498929859051
"_1",28,1.20578512396694,5199,1008.60437526229,1.11690582581838,0.977880361608002,0.0221196383919985,"==",2.63156895223347
"_1",29,1.12545725511448,3799,1019.43256594789,1.04075495448196,0.984732824427481,0.0152671755725191,"==",2.82782390278033
"_1",30,1.09858064516129,5499,1005.76840892551,1.01881409523139,0.987997817785052,0.0121840334606292,"==",2.81849525960452
"_1",31,1.28587516087516,4199,1023.57074065373,1.28228943399222,0.619909502262443,0.383662776851631,"==",0.105234123348664
"_1",32,1.11487758945386,4199,1005.43610771171,1.06137506370815,0.949511788521076,0.0504882114789236,"==",1.83660766966246
"_1",33,1.0977879481312,4299,1002.38030848602,1.03380769550828,0.955803675273319,0.0446615491974878,"==",1.93221044412114
"_1",34,0.894139194139194,3099,1010.00663575468,0.808071432708412,0.977089383672152,0.0229106163278477,"==",2.49243382424869
"_1",35,1.41877794336811,3999,1002.64449302133,1.41969444400119,0.543135783945986,0.457864466116529,"==",-0.026506038566771
"_1",36,1.15510013972986,4699,1004.72833045986,1.09157322680679,0.962758033624175,0.0372419663758246,"==",2.04393620816692
"_1",37,1.22377985462098,4899,1015.86028785702,1.16394788433522,0.941008369054909,0.0593998775260257,"==",1.66464907346953
"_1",38,1.57188200149365,3599,1016.79871224068,1.52819600125419,0.871908863573215,0.128091136426785,"==",1.10022528086533
"_1",39,1.37109677419355,4399,1004.74716172776,1.28738912802763,0.982950670606956,0.0172766537849511,"==",2.57052194587759
"_1",40,1.30841121495327,3899,1023.3857963038,1.23072263418736,0.9705052577584,0.0294947422416004,"==",2.2504793758392
"_3",1,1.41232345956755,4399,1011.82378419843,1.13073553348455,0.999772675608093,0.000227324391907252,">",7.96850423174941
"_3",2,1.97788833609729,4499,1003.1361651975,1.80687906691629,0.998444098688598,0.00155590131140253,"==",4.08875965633161
"_3",3,1.61342486651411,4199,1033.06672503363,1.37218973897566,0.999761848059062,0.000238151940938319,">",5.64762386105066
"_3",4,1.46116129032258,3899,1033.05067237158,1.18335718836095,0.999743523980508,0.000256476019492177,">",7.03693161978987
"_3",5,1.74739947213166,4499,1000.87433639992,1.47624721862841,0.999777728384085,0.000222271615914648,">",6.69272446055661
"_3",6,1.83634933123525,4599,1017.78976527199,1.64954901027242,0.998912807131985,0.00108719286801479,"==",4.57759516092412
"_3",7,1.30223614869677,4599,1002.63179594472,1.01094365460757,0.999782561426397,0.000217438573602957,">",8.59673643597463
"_3",8,1.60559796437659,4399,1009.80596737718,1.26968718365271,0.999772675608093,0.000227324391907252,">",8.98084672612042
"_3",9,1.79847444698703,3899,1002.15148576341,1.51029227897626,0.999743523980508,0.000256476019492177,">",7.06510531086903
"_3",10,1.73333333333333,4699,1012.56365126113,1.50567992514449,0.999787188763567,0.000212811236433284,">",5.7488398231992
"_3",11,1.70829232283465,5399,1014.97324439421,1.44680791718501,0.99981478051491,0.000185219485089831,">",6.5988469992097
"_3",12,1.94715852442672,3699,1032.41169641114,1.74428323572133,0.99918896999189,0.0008110300081103,"==",4.63508988765164
"_3",13,1.64205392223276,3899,1035.98233796467,1.33370838158836,0.999743523980508,0.000256476019492177,">",8.0466742413724
"_3",14,1.65194418100528,4299,1031.56512796725,1.4718474746981,0.998604326587578,0.00139567341242149,"==",4.2832665667362
"_3",15,1.7466781496063,4499,1006.96617600763,1.48443633799637,0.999777728384085,0.000222271615914648,">",6.04448641795607
"_3",16,1.34484011627907,4999,1014.45077415333,1.15625625125025,0.999599919983997,0.000400080016003201,"==",5.33908520225206
"_3",17,1.57360793287567,4199,1006.80164862571,1.37741516677266,0.998809240295308,0.00119075970469159,"==",4.88951729850003
"_3",18,1.72037851526056,4499,1000.42554371616,1.42242763559909,0.999777728384085,0.000222271615914648,">",6.98239866706881
"_3",19,1.51438053097345,3299,1005.59576289983,1.29868214671802,0.99939375568354,0.000606244316459533,"==",5.48001944440226
"_3",20,1.29527559055118,4799,1008.27825979519,1.07030961584845,0.999791623254845,0.000208376745155241,">",7.0153891595849
"_3",21,1.33383121732636,3899,1025.26160921861,1.12309742775048,0.999743523980508,0.000256476019492177,"==",5.68969521000729
"_3",22,1.70859671302149,3299,1019.59730969861,1.47025652143756,0.99969687784177,0.000303122158229767,"==",5.7398107425221
"_3",23,1.58867362146051,4599,1023.52280393084,1.32359508418549,0.999782561426397,0.000217438573602957,">",6.64146896530978
"_3",24,1.73600386100386,3699,1021.51235914045,1.51696487067533,0.999459313327926,0.000540686672073533,"==",4.79984185193875
"_3",25,1.52216569767442,3899,1022.87333550201,1.29478522991385,0.999487047961016,0.000512952038984355,"==",5.98387947651411
"_3",26,1.50292979546711,5799,1003.56253002307,1.23489305594043,0.999827556475254,0.000172443524745646,">",7.65778321076284
"_3",27,1.44915385809657,4499,1017.68187023836,1.12303608740668,0.999777728384085,0.000222271615914648,">",9.17894118402497
"_3",28,1.73812984496124,4799,1035.13049744848,1.54556239813366,0.99958324650969,0.000416753490310481,"==",5.19030487889049
"_3",29,1.4611854183058,4599,1018.83941916548,1.32592311456435,0.994564035659926,0.00543596434007393,"==",3.65973821458515
"_3",30,1.67983565107459,3999,1003.53212305411,1.53288776524093,0.998499624906227,0.00150037509377344,"==",3.96174150672263
"_3",31,1.37348563516788,4099,1018.89707757854,1.1338680989234,0.999268114174189,0.000731885825811174,"==",6.30819709017146
"_3",32,1.72673015873016,3999,1061.14542243592,1.552269940501,0.999749937484371,0.000250062515628907,"==",4.34985029476311
"_3",33,1.43884297520661,5299,1009.39011792508,1.15166352401851,0.999622570296282,0.000377429703717683,"==",6.98812512392809
"_3",34,1.58874458874459,4199,1024.24653858496,1.40333288459409,0.999761848059062,0.000238151940938319,">",5.42895113998459
"_3",35,1.48064516129032,3599,1019.40666955615,1.21835549301329,0.999722145040289,0.000277854959711031,">",7.20272850063806
"_3",36,1.57481751824818,4499,1008.16410967534,1.30173290739386,0.999777728384085,0.000222271615914648,">",7.63817842357951
"_3",37,1.62281533667525,3799,1017.83416303735,1.29915498053007,0.999736772834957,0.000263227165043432,">",8.30719241896231
"_3",38,1.94201101928375,3799,1027.42816193932,1.75305140471213,0.998947091339826,0.00105290866017373,"==",4.38941822522241
"_3",39,1.57890729107177,4699,1064.46368889069,1.2500699343988,0.999787188763567,0.000212811236433284,">",7.77144758850002
"_3",40,1.87359836901121,3999,1023.22448276107,1.63789694450456,0.999749937484371,0.000250062515628907,">",5.31689923017798
"_4",1,1.57894736842105,4399,1002.80952773394,1.2879813661331,0.999772675608093,0.000227324391907252,">",8.54649789603267
"_4",2,2.37425742574257,3299,1007.1057069075,1.95667219889616,0.99969687784177,0.000303122158229767,">",8.74751408866925
"_4",3,2.12352478363493,4299,1013.29368531126,1.67628249532839,0.999767387764596,0.000232612235403582,">",11.2602942547696
"_4",4,1.83622908622909,4299,1032.75057362032,1.54096576139493,0.999767387764596,0.000232612235403582,">",8.18634769774073
"_4",5,2.05287556135014,4599,1016.6183169645,1.74794046800857,0.999782561426397,0.000217438573602957,">",7.04804229722647
"_4",6,1.68306922435363,3499,1034.3975558365,1.35667724437412,0.999714204058302,0.000285795941697628,">",8.59390231789174
"_4",7,2.2022932022932,3799,1051.9150858182,1.93871502457973,0.999736772834957,0.000263227165043432,">",6.0929767828778
"_4",8,2.35457016649677,3499,1010.15034491018,2.00631246809316,0.999714204058302,0.000285795941697628,">",8.07029992755788
"_4",9,1.82360540223136,5299,1092.66172047553,1.42320093411081,0.999811285148141,0.000188714851858841,">",11.6984204904183
"_4",10,1.80632258064516,5399,1030.85969556441,1.51972902986814,0.99981478051491,0.000185219485089831,">",8.23023665721098
"_4",11,1.89019266985369,3799,1011.65874072307,1.56167079200795,0.999736772834957,0.000263227165043432,">",7.77235113640544
"_4",12,2.05077805077805,4399,1026.16060398524,1.64135609705057,0.999772675608093,0.000227324391907252,">",9.95578368994383
"_4",13,2.3695652173913,4499,1010.97111292804,2.05759860678685,0.999777728384085,0.000222271615914648,">",6.94713194318826
"_4",14,1.67375429553265,3999,1050.76219092558,1.25985899395811,0.999749937484371,0.000250062515628907,">",9.9028804051578
"_4",15,2.02293202293202,3799,1044.30967180057,1.72787847312722,0.999736772834957,0.000263227165043432,">",6.93694340948234
"_4",16,2.71208791208791,2899,1018.76884906001,2.257861895875,0.999655053466713,0.00034494653328734,">",9.25133081674712
"_4",17,1.9658064516129,3999,1023.01173122906,1.63891840702111,0.999749937484371,0.000250062515628907,">",8.52158553567659
"_4",18,2.06292366637194,4399,1006.89983271153,1.66489976052886,0.999772675608093,0.000227324391907252,">",9.79468250294746
"_4",19,1.94575678040245,3799,1031.3741603476,1.49047350260475,0.999736772834957,0.000263227165043432,">",11.8939904092218
"_4",20,2.08999653859467,3399,1011.51227933244,1.67005704139358,0.999705795822301,0.000294204177699323,">",10.5754497828143
"_4",21,1.96218487394958,4499,1011.5354024652,1.5419929919067,0.999777728384085,0.000222271615914648,">",11.5062851513228
"_4",22,1.64603640634175,4999,1000.31299009626,1.34161317289882,0.999799959991998,0.0002000400080016,">",9.54949752613687
"_4",23,2.36289500509684,3899,1038.83378451652,1.95110345256113,0.999743523980508,0.000256476019492177,">",9.63124371000696
"_4",24,1.5272998238721,4699,1008.0999987575,1.16363263850268,0.999787188763567,0.000212811236433284,">",10.7653715618401
"_4",25,1.9849504950495,4399,1065.71259630896,1.69608097249825,0.999772675608093,0.000227324391907252,">",7.37150253577587
"_4",26,1.72610955617753,5099,1024.72944257583,1.4557149487724,0.999803883114336,0.000196116885663856,">",8.04000478087635
"_4",27,2.0737360567869,4399,1031.64867980151,1.69856140180675,0.999772675608093,0.000227324391907252,">",9.63317561419234
"_4",28,1.87372147915028,5399,1027.6717017501,1.60879730862924,0.99981478051491,0.000185219485089831,">",7.46190292984361
"_4",29,1.5994094488189,4699,1003.5752147213,1.13821927474936,0.999787188763567,0.000212811236433284,">",13.7806562234263
"_4",30,1.60928689883914,4499,1003.28828312086,1.2905819375622,0.999777728384085,0.000222271615914648,">",9.62329615857722
"_4",31,1.83713611329662,4399,1002.71062304845,1.49411770562499,0.999772675608093,0.000227324391907252,">",10.0603395664435
"_4",32,2.23755615453729,3499,1005.94820380604,1.82117457766781,0.999714204058302,0.000285795941697628,">",9.08034925774491
"_4",33,1.92503748125937,3699,1022.94304840255,1.56763690336502,0.999729656663963,0.000270343336036767,">",7.88149158946875
"_4",34,1.26488329399423,5599,1013.77946675873,0.95161433186502,0.999821396677978,0.00017860332202179,">",11.3837749603127
"_4",35,2.08443922489724,4899,1006.22380049709,1.68026777427824,0.999795876709533,0.000204123290467442,">",10.7831608403958
"_4",36,1.95240200412614,4799,1011.60938775607,1.6515616863642,0.999791623254845,0.000208376745155241,">",8.66669686293241
"_4",37,2.15854341736695,4899,1052.72049917437,1.79136286888709,0.999795876709533,0.000204123290467442,">",8.59390073376617
"_4",38,2.02105263157895,3299,1010.58803006105,1.57525430183974,0.99969687784177,0.000303122158229767,">",9.04003374521452
"_4",39,1.83178410794603,4599,1010.19478051772,1.52630957841366,0.999782561426397,0.000217438573602957,">",8.34011058325241
"_4",40,2.09157509157509,3799,1003.82989018057,1.72693349030543,0.999736772834957,0.000263227165043432,">",9.0694989430073
"_3",41,1.63511450381679,3999,1030.24725663806,1.43970502314363,0.999249812453113,0.000750187546886722,"==",4.82373573385053
"_3",42,1.52252747252747,4399,1007.39375150751,1.17047788916395,0.999772675608093,0.000227324391907252,">",8.52024889405157
"_3",43,1.4375898286346,4299,1008.23355342798,1.221052526003,0.999767387764596,0.000232612235403582,"==",6.41716356022214
"_3",44,1.32229018008835,4399,1021.06025759932,1.10027299782478,0.999318026824278,0.000681973175721755,"==",6.38703445886634
"_3",45,1.48791208791209,3699,1116.10082603363,1.16466137269057,0.999729656663963,0.000270343336036767,">",7.50317097859587
"_3",46,1.65210084033613,3999,1018.13820003516,1.42714582707301,0.999499874968742,0.000500125031257815,"==",5.46700872315696
"_3",47,1.62768910478834,4399,1019.27593475071,1.38199460931466,0.999772675608093,0.000227324391907252,">",6.56068768556506
"_3",48,1.67727950142257,4099,1054.64387888746,1.45457156617452,0.999024152232252,0.000975847767748231,"==",5.53829277776499
"_3",49,2.02354614412137,4199,1009.9221580047,1.91233370385881,0.983329364134318,0.0166706358656823,"==",2.51316984301878
"_3",50,1.49451645064806,4099,1004.21231998976,1.24299686588303,0.999756038058063,0.000243961941937058,"==",6.65245551324637
"_3",51,1.91026238161776,3999,1017.68061356269,1.58894167727617,0.999749937484371,0.000250062515628907,">",7.11691299725986
"_3",52,1.83225806451613,3599,1004.60608020112,1.50273660246126,0.999722145040289,0.000277854959711031,">",8.34620587450749
"_3",53,1.86397507112857,4199,1002.08348218295,1.60411477897509,0.999761848059062,0.000238151940938319,">",6.09993869735834
"_3",54,1.7640627755246,4399,1109.44556854842,1.47891176434393,0.999772675608093,0.000227324391907252,"==",6.62659007718626
"_3",55,1.57221411738301,4099,1012.62057240014,1.3892942677376,0.999756038058063,0.000243961941937058,"==",5.00071535384959
"_3",56,1.73193403298351,3999,1022.16836645074,1.47794801024094,0.999749937484371,0.000250062515628907,">",5.7330017609705
"_3",57,1.56473829201102,3799,1008.5392265558,1.32168331959186,0.999736772834957,0.000263227165043432,"==",6.25327619534628
"_3",58,2.13089303518017,4399,1017.3385806838,1.90042628261094,0.999772675608093,0.000227324391907252,"==",5.48095266824126
"_3",59,1.73799392097264,4799,1000.23499713688,1.52682053610882,0.999791623254845,0.000208376745155241,">",5.86665626532222
"_3",60,1.615132441647,4099,1041.87872602075,1.34517162975343,0.999756038058063,0.000243961941937058,">",7.02380440329049
"_3",61,1.05409523809524,4499,1006.89593483252,0.870946926477489,0.999777728384085,0.000222271615914648,"==",6.66222131805621
"_3",62,1.49925037481259,3399,1062.63481691972,1.25683892387434,0.999705795822301,0.000294204177699323,">",6.06224298008149
"_3",63,1.63759086188993,3999,1015.34902439003,1.34011977379946,0.999749937484371,0.000250062515628907,">",7.13010662090863
"_3",64,1.86312984496124,4499,1029.73302271806,1.69161827089913,0.998221827072683,0.00177817292731718,"==",4.18228268324668
"_3",65,1.83859649122807,4099,1018.88214673721,1.63970784859621,0.999024152232252,0.000975847767748231,"==",4.88729780472553
"_3",66,1.6616191904048,4199,1001.07192108629,1.33261164130961,0.999761848059062,0.000238151940938319,">",8.062432246471
"_3",67,1.26999737739313,4799,1029.68540627822,1.04624482753778,0.999791623254845,0.000208376745155241,"==",6.9583937413162
"_3",68,2.11159192237084,4099,1014.39014511834,1.8603177122832,0.999756038058063,0.000243961941937058,">",5.9376805406784
"_3",69,1.75655761862658,3899,1034.78332761549,1.56119046900945,0.998461143883047,0.00153885611695306,"==",4.68639360232473
"_3",70,1.9650398061613,4199,1028.7483098228,1.72622002584967,0.999761848059062,0.000238151940938319,">",5.44939220888633
"_3",71,1.7782874617737,4199,1104.48105825852,1.51491552969952,0.999761848059062,0.000238151940938319,">",5.92369350154097
"_3",72,2.16460017969452,3299,1010.52071038828,1.95233993692989,0.99939375568354,0.000606244316459533,"==",4.46546606263491
"_3",73,1.78227882400759,5599,1007.85895673313,1.5574400358281,0.999642793355956,0.000357206644043579,"==",5.25590336406639
"_3",74,1.88370188370188,4399,1016.45604399997,1.6550908096714,0.999545351216185,0.000454648783814503,"==",5.36351088872117
"_3",75,1.59531228830782,3499,1020.54621545996,1.39280199243254,0.999714204058302,0.000285795941697628,">",5.16653277071092
"_3",76,1.27489500067741,3799,1018.27227838335,1.09267097613627,0.998947091339826,0.00105290866017373,"==",5.20788605825551
"_3",77,1.61360249288714,4399,1003.54798506007,1.41916985542434,0.999772675608093,0.000227324391907252,"==",4.86128938862066
