"subset_name","sample_ID","rho","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"survey_only",45,1700,71.2794959203005,7099,1015.54622640767,71.3847108900305,0.166220594449923,0.833779405550077,"==",-0.978851697441958
"survey_only",46,1700,74.2005159070284,6599,1000.40815467116,74.1200279378352,0.732232156387331,0.267767843612669,"==",0.682639490852637
"survey_only",47,1700,69.7005646453959,8199,1001.87915478683,69.7351779180703,0.341383095499451,0.658616904500549,"==",-0.327964966908449
"survey_only",48,1700,67.9788731357673,9399,1002.24541746615,68.4336096391832,0.000531971486328333,0.999468028513672,"==",-3.81658991732033
"survey_only",49,1700,67.3578830143621,7799,1014.10842252223,67.7393338155238,0.000128221566867547,0.999871778433132,"==",-4.45546336569047
"survey_only",50,1700,70.9466467630597,4299,1012.69113549025,71.1693958502568,0.186089788322866,0.813910211677134,"==",-0.75534229096946
"survey_only",51,1700,67.9706896388926,8099,1008.93015697296,68.1107570257194,0.0918631929867885,0.908136807013212,"==",-1.38749354368191
"survey_only",52,1700,69.0548358675872,7899,1001.25853737928,69.084631264225,0.329408785922269,0.670591214077731,"==",-0.334046365297234
"survey_only",53,1700,65.1747674328996,8199,1038.49036628758,65.6218431643805,0.00317111842907672,0.996828881570923,"==",-3.21477313349901
"survey_only",54,1700,72.9402668114645,9399,1007.75875420964,72.9430740397323,0.452282157676349,0.547717842323652,"==",-0.0179860616816367
"survey_only",55,1700,70.095766234967,13699,1006.41227694553,70.3648225648023,0.0197094678443682,0.980290532155632,"==",-2.28938823696907
"survey_only",56,1700,69.2689793523533,8099,1000.3500116587,69.8129247514891,0.000493888134337573,0.999506111865662,"==",-3.60426076476668
"survey_only",57,1700,73.7105791038445,6999,1090.07886831702,73.8178427995042,0.182883269038434,0.817116730961566,"==",-0.881082318908844
"survey_only",58,1700,70.5766417518824,5499,1013.70340274982,70.8496233869106,0.0147299509001637,0.985270049099836,"==",-2.53329433409968
"survey_only",59,1700,67.6326885915051,12499,1000.5007083688,67.8098347114267,0.0418433474677974,0.958156652532203,"==",-1.95466067591393
