species_name,langkawi,tioman,pangkor,terutau,perhentian_besar,pisang,bidong,redang,rumpia,jarak,berhala,pemanggil,perak,lalang,sarang_lang,tokong_simbang
orange_breasted_trogon,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
crested_goshawk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erpornis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
malayan_black_magpie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
plain_flowerpecker,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ferruginous_babbler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rufous_bellied_swallow,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
black_hooded_oriole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown_winged_kingfisher,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mountain_hawk_eagle,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bat_hawk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asian_wollyneck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greater_painted_snipe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common_moorhen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mountain_imperial_pigeon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red_junglefowl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white_bellied_munia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plain_backed_sparrow,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jungle_myna,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
streaked_wren_babbler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ochraceous_bulbul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhinoceros_hornbill,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
masked_finfoot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orange_breasted_green_pigeon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asian_emerald_cuckoo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
