"archipelago_ID","sample_ID","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"J3_m3",12,1.75326560232221,1999,1033.06850838489,1.76577548571093,0.460230115057529,0.545772886443222,"==",-0.233637654785742
"J3_m3",13,1.96033844526705,2499,1032.42207340459,1.96171943129446,0.524209683873549,0.480192076830732,"==",-0.0299679942881859
"J3_m3",14,2.29378531073446,2099,1011.35567648537,2.3059336837827,0.436874702239162,0.567889471176751,"==",-0.239433791821357
"J3_m3",15,2.19842710223835,2199,1002.11455631074,2.21122536312084,0.430195543428831,0.572532969531605,"==",-0.265549733610941
"J3_m3",16,1.56954887218045,2699,1145.65352859909,1.55733860401281,0.654316413486477,0.351241200444609,"==",0.264516854008027
"J3_m3",17,1.9437386569873,2199,1028.67898592613,1.98656404068615,0.160527512505684,0.845839017735334,"==",-0.988205057220061
"J3_m3",18,1.94202898550725,1899,1009.57765644947,2.02863139257122,0.0300157977883096,0.971037388098999,"==",-1.6031341436429
"J3_m3",19,2.93358395989975,2099,1007.66082635951,3.00637282821155,0.07336827060505,0.929490233444497,"==",-1.32016310411762
"J3_m3",20,1.43333333333333,2199,1039.95173925397,1.4614645775628,0.333333333333333,0.673942701227831,"==",-0.523167959811754
"J3_m1",11,4.74985388661601,1899,1064.03774018567,4.69555172075247,0.943654555028963,0.0563454449710374,"==",1.65171197554236
"J3_m1",12,3.53709856035437,1599,1060.78816900373,3.59183584424651,0.0606629143214509,0.943714821763602,"==",-1.46056169131054
"J3_m1",13,4.49090909090909,1899,1014.63889132862,4.42725084289065,0.951553449183781,0.0516061084781464,"==",1.78236639886104
"J3_m1",14,3.30972515856237,1699,1031.43154469921,3.36434938099392,0.0824014125956445,0.921130076515597,"==",-1.30585949071119
"J3_m1",15,3.84549019607843,1599,1044.88846711312,3.6832966682608,0.999374609130707,0.000625390869293308,"==",4.50166907970261
"J3_m1",16,4.25531914893617,1699,1041.91034815531,4.28310823221002,0.248381400824014,0.761035903472631,"==",-0.723737908181426
"J3_m1",17,4.01327742837177,1899,1088.36310419507,4.00270141076126,0.689310163243813,0.321221695629279,"==",0.354885640542449
"J3_m1",18,3.88549019607843,1799,1060.0512707309,3.92194966702634,0.171762090050028,0.836020011117287,"==",-0.939737705853826
"J3_m1",19,4.18181818181818,2199,1010.62502994177,4.13454202476485,0.893587994542974,0.108231014097317,"==",1.2687721231126
"J3_m1",20,4.16545718432511,2199,1023.51569862914,4.11102849890206,0.91268758526603,0.0882219190541155,"==",1.45785857477978
"J3_m1",21,3.11025641025641,1599,1010.04205407402,3.13894822084316,0.268918073796123,0.737335834896811,"==",-0.696228104860719
"J3_m1",22,4.93140096618357,1000,1295.99333154418,4.94057487922705,0.432,0.577,"==",-0.24637191785366
"J3_m1",23,4.32080200501253,1799,1006.33339208052,4.30831247100519,0.681489716509172,0.325180655919956,"==",0.359727652724222
"J3_m1",24,4.85573770491803,1799,1034.36916707527,4.82472897815119,0.822679266259033,0.180655919955531,"==",0.900519922776619
"J3_m1",25,5.27937095282146,1499,1047.61198413804,5.21474384094484,0.939292861907939,0.0607071380920614,"==",1.66137171460964
"J3_m1",26,4.09677419354839,2099,1082.75291087536,4.14572320908672,0.0519294902334445,0.951881848499285,"==",-1.48269930780536
"J3_m1",27,3.85490196078431,1899,1000.3873900957,3.85405941207447,0.549763033175355,0.458135860979463,"==",0.0226004918353298
"J3_m1",28,5.85050798258345,1299,1052.37669524525,5.84148351249314,0.648190916089299,0.361816782140108,"==",0.272294285698377
"J3_m1",29,5.33400673400673,1499,1056.06745823764,5.32156207393032,0.684456304202802,0.324216144096064,"==",0.405346256705206
"J3_m1",30,4.28883861236802,1699,1036.3055569661,4.31637943355909,0.225426721600942,0.782224838140082,"==",-0.765869267560785
"J3_m3",21,1.84989429175476,1999,1035.15920724823,1.91016491332347,0.0895447723861931,0.91495747873937,"==",-1.23849870723335
"J3_m3",22,1.59350307287094,2499,1036.86281337581,1.64393079444245,0.111644657863145,0.889955982392957,"==",-1.16325887678991
"J3_m3",23,1.59903381642512,1499,1047.37750632231,1.63492505470636,0.231487658438959,0.773849232821881,"==",-0.765305089305292
"J3_m3",24,1.95663265306122,1999,1056.97326963067,1.97238457664206,0.435217608804402,0.570285142571286,"==",-0.2920722950907
"J3_m3",25,1.93904518329071,2699,1011.57771023048,1.97937128683005,0.198221563542053,0.804742497221193,"==",-0.849477797930398
"J3_m3",26,1.81598793363499,2099,1003.86368087257,1.81851984389607,0.531205335874226,0.477370176274416,"==",-0.0551425930491866
"J3_m3",27,2.30671506352087,2099,1030.24185989791,2.3424273420322,0.252977608384945,0.750357313006193,"==",-0.714932958570203
"J3_m3",28,2.33898305084746,2299,1017.18006619386,2.30801576711073,0.76163549369291,0.240974336668117,"==",0.643496669297083
"J3_m3",29,2.71867167919799,1999,1025.17156346975,2.70246840212086,0.653826913456728,0.348174087043522,"==",0.294166253981246
"J3_m3",30,2.58237689744539,2399,1050.35652995516,2.61291921121645,0.273864110045852,0.728636932055023,"==",-0.629857672276827
"J1_m5",21,1.85238959467635,1799,1143.29607008871,1.88411018153192,0.30461367426348,0.698721511951084,"==",-0.584437807463355
"J1_m5",22,2.03284416491964,2299,1036.89766257323,2.04613891920925,0.431926924749891,0.571987820791649,"==",-0.256197358734059
"J1_m5",23,1.97783461210571,2499,1013.78095678016,2.03629772454591,0.0760304121648659,0.925570228091236,"==",-1.32425782326659
"J1_m5",24,1.67687074829932,2099,1020.99016435918,1.62703166068714,0.844687946641258,0.160552644116246,"==",0.917406952778147
"J1_m5",25,2.60324675324675,2399,1031.24078360318,2.59856514889862,0.579408086702793,0.427261358899541,"==",0.0989508695770271
