"suffix","sample_ID","rho","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"_3",43,1700,60.2658907146923,4399,1009.75941565244,62.2285889985154,0.000227324391907252,0.999772675608093,"==",-4.04827956093115
"_3",44,1700,64.5451709854717,3499,1004.59763612154,66.0863933798703,0.00314375535867391,0.996856244641326,"==",-3.46633279488845
"_3",45,1700,55.4101369832363,3699,1019.16931925964,60.1188726187531,0.000270343336036767,0.999729656663963,"<",-8.21725343351161
"_3",46,1700,59.1233076520012,4399,1023.80332784115,59.782096732482,0.0688792907478973,0.931120709252103,"==",-1.52771495073443
"_3",47,1700,59.1320885589089,3499,1033.18151972342,61.3727370784573,0.000571591883395256,0.999428408116605,"==",-4.14823159805426
"_3",48,1700,59.402579227034,4499,1022.80112353304,62.2378734595225,0.000222271615914648,0.999777728384085,"<",-6.47243042760897
"_3",49,1700,65.7022165513191,4599,1007.57200025308,66.9308962059508,0.00347901717764731,0.996520982822353,"==",-2.96940014555287
"_3",50,1700,60.0880895431276,3799,1019.16758995067,62.3305782533339,0.000263227165043432,0.999736772834957,"==",-4.28478405057147
"_3",51,1700,59.6708681474866,4199,1007.09526050959,61.2202595631383,0.000952607763753275,0.999047392236247,"==",-3.85099278287062
"_3",52,1700,59.6365815635039,4299,1019.55498393887,61.5782880788276,0.00116306117701791,0.998836938822982,"==",-3.79824968260317
"_3",53,1700,60.5610821661702,4099,1013.4726426506,61.1061354134142,0.0795315930714808,0.920468406928519,"==",-1.45229396121762
"_3",54,1700,64.6925342168476,4399,1011.65965399207,65.8301774534282,0.00545578540577404,0.994544214594226,"==",-2.67698320732087
"_3",55,1700,61.427838319714,4599,1003.73696436812,63.5900413339998,0.000217438573602957,0.999782561426397,"<",-4.54571482142243
"_3",56,1700,58.7757970499689,4799,1008.22426852966,60.0103399475656,0.0145863721608668,0.985413627839133,"==",-2.52850789604094
"_3",57,1700,60.8491668303461,3899,1007.71187871679,62.4184969583088,0.0023082841754296,0.99769171582457,"==",-3.28949135233253
"_3",58,1700,61.2932166943028,5099,1011.29750198317,63.7653013629236,0.000196116885663856,0.999803883114336,"<",-5.56707232654914
"_3",59,1700,64.3239731417064,4699,1004.86416447385,65.4908118638587,0.00319216854649926,0.996807831453501,"==",-3.1316098404811
"_3",60,1700,56.4309651045593,4399,1024.45580183476,60.3378795883435,0.000227324391907252,0.999772675608093,"<",-7.90221562557035
"_3",61,1700,58.8302040886728,5199,1002.73196804304,61.3021624850078,0.000192344681669552,0.99980765531833,"<",-5.04839609105824
"_3",62,1700,57.0778321417495,3799,1004.3155834207,59.5175518261486,0.000789681495130297,0.99921031850487,"==",-3.89839478966637
"_3",63,1700,59.9204491623714,3999,1025.89315069698,63.1141885414212,0.000250062515628907,0.999749937484371,"<",-6.42141722247696
"_3",64,1700,61.3176892934089,4999,1011.19398568702,63.1356313340433,0.0018003600720144,0.998199639927986,"==",-3.34097623507737
"_3",65,1700,65.7006960689408,5299,1006.70634589901,66.1920986872809,0.14493300622759,0.85506699377241,"==",-1.07555044448937
"_3",66,1700,60.0706696067641,4199,1018.43421563019,62.3904517720541,0.000238151940938319,0.999761848059062,"<",-4.80451313908803
"_3",67,1700,62.2659415307594,4299,1027.69455187064,64.2953786069017,0.000232612235403582,0.999767387764596,"==",-4.09850714156764
"_3",68,1700,64.3710331018951,4999,1011.45443105869,65.0999566519905,0.0454090818163633,0.954590918183637,"==",-1.79071702652962
