Island.Name,Island Group,Species Diversity,Single Island Endemics,Island-group Endemics,Present Day Area (m2),Average Area (m2),Distance to Mainland (km2),Max Elevation (m2),Isolation_10KM,Isolation_50KM,Isolation_100KM,Isolation_200KM,Isolation Time,Longitude,Latitude
Tinjul,Riau-Bangka Belitung,23,0,0,104580,2687554418.3845,46146.73456,21,22.79951496,27.32921472,40.34906452,42.55776518,58.41,103.7697709,0.935743649
Saya,Riau-Bangka Belitung,7,0,0,677432,3214937532.15,75705.28095,105,21.18997966,9.507650479,17.46490579,27.39744601,58.41,104.4421541,0.303415646
Momoi,Riau-Bangka Belitung,22,0,0,1275033,3741790675,50116.39826,25,67.44419328,52.29855547,27.16412758,38.94971743,58.41,104.4177477,0.928035837
Ngenang,Riau-Bangka Belitung,31,0,0,1390373,3621192974.5,38208.00252,74,52.1785378,32.24193418,27.90478564,32.53537932,58.41,104.1230385,0.991501438
Durian,Riau-Bangka Belitung,44,0,0,8743169,3621192974.5,30124.29464,223,86.98566966,63.71603675,38.39842099,48.5351277,58.41,104.1705038,1.044613865
Temiang,Riau-Bangka Belitung,38,0,0,29587985,79271086.405,67321.88975,175,1.824243539,25.54045781,17.64532931,24.13705682,58.41,104.8220178,0.995149111
Sebangka,Riau-Bangka Belitung,39,0,0,122768471,172212909.8,20182.64794,83,13.83239284,46.07177757,78.67437731,86.18281565,61.535,103.3692968,1.055582919
Batam,Riau-Bangka Belitung,71,0,0,314591585,626509211.8,12386.01801,146,35.52595403,67.6358484,85.57891983,91.55755059,61.535,103.422577,0.756428227
Lingga,Riau-Bangka Belitung,107,0,0,431140618,3621192974.5,15899.41554,955,22.28709876,33.28163539,30.82176582,34.50959411,58.41,104.0350843,1.087606506
Bintan,Riau-Bangka Belitung,104,0,0,863349371,3696831421,71023.01295,294,6.878865187,8.08140043,7.408089639,29.10778659,58.41,104.6549169,-0.170988184
Pawai,Riau-Bangka Belitung,15,0,0,565366,10896018.35,13427.68443,41,31.43583194,58.20073648,58.9741309,66.3553659,61.535,103.6980848,1.259222131
Senang,Riau-Bangka Belitung,18,0,0,658706,23222882.1033333,21549.6694,24,8.394840264,42.56646903,43.21495595,42.81251638,56.5,103.7231884,1.186052504
Ayer Merbau,Riau-Bangka Belitung,24,0,0,1066071,10896018.35,11649.14418,9,47.69307555,59.73902533,58.0929557,65.26250885,61.535,103.7096413,1.285507129
Ubin,Riau-Bangka Belitung,72,0,0,4818026,4818026,20615.67683,40,32.16228199,59.65402987,53.07094308,60.83107069,65.355,103.8302192,1.249237468
Singapore,Riau-Bangka Belitung,150,0,0,25002018,25002018,1136.947366,132,51.60678003,64.73390143,46.94373906,47.75388994,65.355,104.0573069,1.409214562
Bidong,Peninsula,18,0,0,1171809,9143319.1066,20840.71403,196,0.188500343,25.22035888,37.11944878,39.87328985,53.545,102.8961275,5.795198365
Perhentian Besar,Peninsula,21,0,0,2572113,9004233.145,13492.63403,270,0.140342609,27.96751876,36.55785071,38.3559931,56.5,103.0636466,5.619816607
Redang,Peninsula,17,0,0,9445265,25298803.4933333,16565.32857,313,0,28.59524328,38.81726345,41.54774661,56.5,102.7564815,5.901160344
Pemanggil,Peninsula,6,0,0,9321446,22522962.2616667,49112.71232,454,0,2.227784119,16.57115547,27.41305289,51.46,104.3280356,2.580843998
Tioman,Peninsula,81,0,0,137398684,211317510.9,37697.36951,28,0.203935501,3.045745004,19.54388185,31.43024889,55.11,104.1716215,2.788189627
Tinjil,Javan,20,0,0,5852995,32249218.72,11600.13187,30,0,30.77744596,30.79666167,26.91192444,61.535,105.7924782,-6.96159886
Deli,Javan,18,0,0,9698030,10819400.7428571,13385.64187,248,0,16.77317255,17.81178162,23.66960488,49.38,105.5451649,-7.0070496
Panaitan,Javan,65,0,0,123476763,253187607.923077,7901.481023,31,0.498386818,8.333752438,14.69025795,26.97280687,35.315,105.2044294,-6.589814251
Lasia,West Sumatran,12,0,0,14907040,78588351.6775,114142.7506,71,9.595966485,5.014211645,5.029414361,18.80317521,0,96.63475845,2.168114425
Babi,West Sumatran,23,0,0,45784149,104065815.072083,113677.1708,43,2.627407027,3.839617444,4.806725405,17.84303166,0,96.64772458,2.090584389
Bangkaru,West Sumatran,23,0,0,60777813,443226273.726364,65418.24094,191,0.339113986,2.978612103,11.30295788,27.14839384,43.65,97.12428396,2.067296403
