subset_name,rho,K,residual,theta_est,m_est,A_crit_est
peninsula_only,2115,4,2050.6109273074203,25.12786020483079,0.0001714103960973165,1.3790230049919774
peninsula_only,2115,5,1990.4083661693217,26.053832369409513,0.00015261135361605704,1.9430075281773773
peninsula_only,2115,6,1942.1636887740246,27.00369631421003,0.00013654107770836243,2.614110777180623
peninsula_only,2115,7,1907.3234575877523,28.007981789423138,0.00012244018058618983,3.4086988539233958
peninsula_only,2115,8,1886.8795398136613,29.120105272746645,0.00010967622174332772,4.352526865223637
peninsula_only,2115,9,1881.515273548378,30.390765110984358,9.792985585713438e-05,5.4777969614876545
peninsula_only,2115,10,1891.691777652168,31.883128271888754,8.70180231287082e-05,6.825665916616667
peninsula_only,2115,11,1917.705195175356,33.72527662503736,7.663881871466599e-05,8.466534796099522
peninsula_only,2115,12,1959.741640042931,36.003135573694955,6.696804032984851e-05,10.461086985389672
peninsula_only,2115,13,2017.980407888393,38.94139515971173,5.790591250239736e-05,12.914824921495123
peninsula_only,2115,14,2092.7740671228466,42.42074959341572,5.016082471851906e-05,15.791287426819387
peninsula_only,1259,1,2275.7071746711244,22.297167445303078,0.0004641153378471953,0.22794085620830248
peninsula_only,1259,2,2198.7883091199037,23.23729433982674,0.0004016368615060467,0.5279772008184435
peninsula_only,1259,3,2122.782863239525,24.188214764014116,0.0003504738289584701,0.9094758801537346
peninsula_only,1259,4,2052.980624216387,25.12011807337058,0.0003091343660347729,1.378111228153409
peninsula_only,1259,5,1992.754568582899,26.04634758469115,0.0002749275499864446,1.9417663166822974
peninsula_only,1259,6,1944.3406912674304,26.988076868979963,0.000245895702910621,2.6109919244469957
peninsula_only,1259,7,1909.253624334007,27.986386637606742,0.00022039477883313221,3.403323573468101
peninsula_only,1259,8,1888.5364175458963,29.080119404208986,0.00019747410666333726,4.341407102416156
peninsula_only,1259,9,1882.910344928916,30.327265237168568,0.00017639285681162506,5.458062881111148
peninsula_only,1259,10,1892.864362287904,31.795209009057057,0.00015674323636910082,6.795989224856595
peninsula_only,1259,11,1918.7128886551923,33.575832986954744,0.00013828099887679937,8.412183698831203
peninsula_only,1259,12,1960.6505764937865,35.82606731355732,0.00012076724420891216,10.390352328755162
peninsula_only,1259,13,2018.8447901160275,38.64095755979895,0.0001046856067326988,12.793085220142483
peninsula_only,1259,14,2093.615044398936,42.10283489216508,9.047564815605707e-05,15.659077406813422
riau_only,2115,1,12556.101802977344,9.526009399645853,0.03128890236588866,0.004455009411502458
riau_only,2115,2,12510.898021901048,9.594765117377266,0.02711168049119328,0.010457659865030406
riau_only,2115,3,12468.143560270071,9.663049685837962,0.023507239374591208,0.01842272116486938
riau_only,2115,4,12433.310829122876,9.72900236565789,0.020431679560107746,0.028826299423585045
riau_only,2115,5,12410.456140726934,9.791826670379846,0.017813707049780966,0.04223015447574282
riau_only,2115,6,12402.879672671499,9.850476590918406,0.01559255338161229,0.05927395150114849
riau_only,2115,7,12413.44260334581,9.903682220149847,0.013715579239162279,0.08066427773776194
riau_only,2115,8,12444.708627835087,9.950285297509737,0.012133660531326796,0.10717499958959657
riau_only,2115,9,12498.993563099157,9.989507273975716,0.010800216530854553,0.13966483762478699
riau_only,2115,10,12578.376879803141,10.021041149165882,0.00967246526365212,0.17911012414672
